Accession	Description	Pfam.IDs	Entrez.Gene.ID	Gene.Symbol	Chromosome
XP_006722823.1	nuclear factor 1 X-type isoform X6 [Homo sapiens]	Pf00859, Pf03165, Pf10524	4784	NFIX	19
NP_653173.1	TBC1 domain family member 2B isoform a [Homo sapiens]	Pf00169, Pf00566, Pf15413	23102	TBC1D2B	15
NP_001354324.1	WASH complex subunit 2C isoform 7 [Homo sapiens]				
4B90_A	Chain A, Crystal Structure Of Wt Human Crmp-5				
BAA03530.1	alpha-catenin [Homo sapiens]	Pf01044	1495	CTNNA1	5
NP_005063.1	solute carrier family 12 member 4 isoform a [Homo sapiens]	Pf00324, Pf13520	6560	SLC12A4	16
EAX09811.1	hCG401183, isoform CRA_c, partial [Homo sapiens]	Pf00107, Pf08240			
NP_037468.1	protein transport protein Sec61 subunit alpha isoform 1 [Homo sapiens]	Pf00344, Pf10559	29927	SEC61A1	3
NP_008997.1	cAMP-dependent protein kinase inhibitor gamma [Homo sapiens]	Pf02827	11142	PKIG	20
NP_001339017.1	vezatin isoform a [Homo sapiens]	Pf04290, Pf12632	55591	VEZT	12
EAX02644.1	doublecortex; lissencephaly, X-linked (doublecortin), isoform CRA_c [Homo sapiens]	Pf03607	1641	DCX	X
XP_006714132.1	PDZ and LIM domain protein 5 isoform X6 [Homo sapiens]	Pf00412, Pf00595, Pf13180	10611	PDLIM5	4
EAW69296.1	phosphatidylinositol-4-phosphate 5-kinase, type I, gamma, isoform CRA_b [Homo sapiens]	Pf01504	23396	PIP5K1C	19
AAG45339.1	C1orf28 [Homo sapiens]	Pf05179	79577	CDC73	1
1UPK_A	Chain A, Crystal Structure Of Mo25 In Complex With A C-Terminal Peptide Of Strad				
BAD96292.1	replication factor C 3 isoform 1 variant, partial [Homo sapiens]	Pf03215, Pf08542, Pf13177, Pf13401	5983	RFC3	13
NP_001305968.1	fatty acid-binding protein, brain isoform 2 [Homo sapiens]	Pf00061, Pf14651	2173	FABP7	6
AAD30280.1	endocytic receptor Endo180 [Homo sapiens]	Pf00040, Pf00059	9902	MRC2	17
EAX06732.1	transmembrane protein 48, isoform CRA_b [Homo sapiens]	Pf09531	55706	NDC1; TMEM48	1
BAF85422.1	unnamed protein product [Homo sapiens]	Pf03250	29767	TMOD2	15
Q6VEQ5.2	RecName: Full=WAS protein family homolog 2; AltName: Full=CXYorf1-like protein on chromosome 2; AltName: Full=Protein FAM39B	Pf11945			
NP_000217.2	keratin, type I cytoskeletal 9 [Homo sapiens]	Pf00038, Pf13166	3857	KRT9	17
NP_002005.1	peptidyl-prolyl cis-trans isomerase FKBP4 [Homo sapiens]	Pf00254, Pf00515, Pf07719, Pf13174, Pf13371, Pf13414, Pf13424, Pf13432, Pf14559	2288	FKBP4	12
BAG60181.1	unnamed protein product [Homo sapiens]	Pf00928	1173	AP2M1	3
AHW56477.1	fragile X mental retardation 1 isoform A, partial [Homo sapiens]	Pf00013, Pf05641, Pf12235, Pf13014	2332	FMR1	X
AAH03586.1	ARMC10 protein [Homo sapiens]	Pf04826	83787	ARMC10	7
XP_011541895.1	GRAM domain-containing protein 2B isoform X3 [Homo sapiens]	Pf02893	65983	GRAMD3; GRAMD2B	5
BAB71348.1	unnamed protein product [Homo sapiens]		84450	ZNF512	2
5Y3A_B	Chain B, Crystal structure of Ragulator complex (p18 49-161)				
AAC83410.1	epidermal cytokeratin 2 [Homo sapiens]	Pf00038, Pf12128, Pf13166	3849	KRT2	12
XP_006711558.1	60 kDa SS-A/Ro ribonucleoprotein isoform X1 [Homo sapiens]	Pf05731, Pf09967, Pf13519	6738	TROVE2	1
CAB97494.1	zinc finger protein Cezanne [Homo sapiens]	Pf01754, Pf02338, Pf14555	56957	OTUD7B	1
EAW47755.1	A kinase (PRKA) anchor protein (gravin) 12, isoform CRA_c [Homo sapiens]	Pf03832	9590	AKAP12	6
XP_005268563.1	treacle protein isoform X5 [Homo sapiens]	Pf03546	6949	TCOF1	5
AAH14572.1	Hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit [Homo sapiens]	Pf00108, Pf00109, Pf02803	3032	HADHB	2
BAG64687.1	unnamed protein product [Homo sapiens]	Pf00995	6813	STXBP2	19
XP_011524265.1	probable phospholipid-transporting ATPase IIB isoform X1 [Homo sapiens]	Pf00122, Pf00689, Pf08282, Pf12710, Pf13246	374868	ATP9B	18
BAA91165.1	unnamed protein product [Homo sapiens]		100529067	SERF2-C15ORF63	15
XP_016857247.1	REST corepressor 3 isoform X1 [Homo sapiens]	Pf00249, Pf01448	55758	RCOR3	1
XP_006724344.3	eukaryotic translation initiation factor 4E transporter isoform X1 [Homo sapiens]	Pf10477	56478	EIF4ENIF1	22
AAH14895.2	Aldehyde dehydrogenase 16 family, member A1 [Homo sapiens]	Pf00171, Pf07368	126133	ALDH16A1	19
BAE45713.1	nestin, partial [Homo sapiens]		10763	NES	1
BAG53180.1	unnamed protein product [Homo sapiens]	Pf02854	9811	CTIF	18
XP_005253227.2	1-aminocyclopropane-1-carboxylate synthase-like protein 1 isoform X1 [Homo sapiens]	Pf00155	84680	ACCS	11
AGL94896.1	hypoxia-inducible factor prolyl hydroxylase 2 [Homo sapiens]	Pf01753, Pf03171, Pf13640, Pf13661	54583	EGLN1	1
XP_006724248.1	RNA binding protein fox-1 homolog 2 isoform X1 [Homo sapiens]	Pf00076, Pf12414, Pf13893, Pf14259	23543	RBFOX2	22
AAI21148.1	Translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae) [Homo sapiens]	Pf03031	92609	TIMM50	19
NP_005491.1	SUMO-activating enzyme subunit 1 isoform a [Homo sapiens]	Pf00899	10055	SAE1	19
AAH39896.1	Similar to ROD1 regulator of differentiation 1 (S. pombe), partial [Homo sapiens]	Pf00076, Pf13893, Pf14259	9991	PTBP3	9
AAC12926.1	Gry-rbp [Homo sapiens]	Pf00076, Pf13893, Pf14259	10492	SYNCRIP	6
AAB06589.1	Stat5A [Homo sapiens]	Pf00017, Pf01017, Pf02864, Pf02865	6776	STAT5A	17
AAI46769.1	Phosphoribosylformylglycinamidine synthase [Homo sapiens]	Pf00586, Pf02769, Pf13507	5198	PFAS	17
BAH12245.1	unnamed protein product [Homo sapiens]	Pf00274	230	ALDOC	17
NP_001298184.1	biogenesis of lysosome-related organelles complex 1 subunit 6 isoform 1 [Homo sapiens]	Pf14712	26258	BLOC1S6	15
ABB01006.1	heat shock protein 60 [Homo sapiens]	Pf00118	3329	HSPD1	2
XP_016870505.1	protein SET isoform X2 [Homo sapiens]	Pf00956	6418	SET	9
XP_016882419.1	microtubule-associated protein 1S isoform X1 [Homo sapiens]		55201	MAP1S	19
6H02_A	Chain A, Crystal structure of human Mediator subunit MED23				
AAC41916.1	ribosomal protein L34 [Homo sapiens]	Pf01199	6164	RPL34	4
3L4G_B	Chain B, Crystal Structure Of Homo Sapiens Cytoplasmic Phenylalanyl-T Synthetase				
NP_000652.2	60S ribosomal protein L9 [Homo sapiens]	Pf00347	6133	RPL9	4
XP_016860322.1	POTE ankyrin domain family member F isoform X1 [Homo sapiens]	Pf00022, Pf00023, Pf12796, Pf13606, Pf13637, Pf13857, Pf14915	728378	POTEF	2
BAF85500.1	unnamed protein product [Homo sapiens]	Pf00644	56829	ZC3HAV1	7
BAD92728.1	chondroitin sulfate proteoglycan 2 (versican) variant, partial [Homo sapiens]	Pf00008, Pf00059, Pf00084, Pf00193, Pf07645, Pf12947	1462	VCAN	5
AAI50606.1	HEAT repeat containing 5B [Homo sapiens]		54497	HEATR5B	2
AAC27674.1	eIF-3 p110 subunit [Homo sapiens]	Pf01399, Pf05470	8663	EIF3C	16
EAW53485.1	prune homolog (Drosophila), isoform CRA_a [Homo sapiens]	Pf01368, Pf02833	58497	PRUNE; PRUNE1	1
NP_001350922.1	calnexin isoform a [Homo sapiens]				
NP_110442.1	p53 and DNA damage-regulated protein 1 [Homo sapiens]	Pf01920	81572	PDRG1	20
XP_024306634.1	(E3-independent) E2 ubiquitin-conjugating enzyme isoform X2 [Homo sapiens]				
NP_004153.2	ras-related protein Rab-5A isoform 1 [Homo sapiens]	Pf00009, Pf00025, Pf00071, Pf04670, Pf08477	5868	RAB5A	3
NP_001269526.1	catenin alpha-2 isoform 3 [Homo sapiens]	Pf01044	1496	CTNNA2	2
AAC05580.1	carboxyl terminal LIM domain protein [Homo sapiens]	Pf00412, Pf00595, Pf13180	9124	PDLIM1	10
XP_006715869.1	septin-7 isoform X2 [Homo sapiens]	Pf00735, Pf01926, Pf05368, Pf10211	989	SEPT7	7
NP_078868.1	polyprenol reductase [Homo sapiens]	Pf02544	79644	SRD5A3	4
AAG47842.1	glutaminase [Homo sapiens]	Pf04960, Pf12796	2744	GLS	2
EAW49686.1	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast), isoform CRA_b [Homo sapiens]	Pf00022	10121	ACTR1A	10
EAW55745.1	general transcription factor IIIC, polypeptide 1, alpha 220kDa, isoform CRA_b [Homo sapiens]	Pf04182	2975	GTF3C1	16
Q96L91.4	RecName: Full=E1A-binding protein p400; AltName: Full=CAG repeat protein 32; AltName: Full=Domino homolog; Short=hDomino; AltName: Full=Trinucleotide repeat-containing gene 12 protein; AltName: Full=p400 kDa SWI2/SNF2-related protein	Pf00176, Pf00271, Pf07529	57634	EP400	12
NP_060457.4	RUN and FYVE domain-containing protein 2 isoform a [Homo sapiens]	Pf01363, Pf01576, Pf02463, Pf02759, Pf03961, Pf04012, Pf04111, Pf05622, Pf05911, Pf06156, Pf07888, Pf09726, Pf09728, Pf09730, Pf09731, Pf09755, Pf12128, Pf13166, Pf15070	55680	RUFY2	10
EAW50986.1	hCG1985580, isoform CRA_b [Homo sapiens]	Pf00036, Pf13405, Pf13499, Pf13833			
EAW88064.1	ribosomal protein L7a, isoform CRA_d, partial [Homo sapiens]	Pf01248	6130	RPL7A	9
EAW65192.1	hCG2045957, isoform CRA_a [Homo sapiens]	Pf00241, Pf01582, Pf12799, Pf13855			
XP_016866497.1	F-actin-uncapping protein LRRC16A isoform X1 [Homo sapiens]	Pf08542	55604	LRRC16A; CARMIL1	6
XP_011526467.1	MHC class II regulatory factor RFX1 isoform X1 [Homo sapiens]	Pf02257, Pf03153, Pf04589, Pf09770	5989	RFX1	19
BAF84031.1	unnamed protein product [Homo sapiens]	Pf00514, Pf04826, Pf09759	9823	ARMCX2	X
NP_001128647.1	protein NEDD1 isoform a [Homo sapiens]	Pf00400, Pf02239	121441	NEDD1	12
AAC25978.1	ES/130-related protein, partial [Homo sapiens]	Pf03276, Pf13779	6238	RRBP1	20
XP_011509125.1	rab3 GTPase-activating protein catalytic subunit isoform X1 [Homo sapiens]	Pf13890	22930	RAB3GAP1	2
NP_001157852.1	double-stranded RNA-binding protein Staufen homolog 2 isoform a [Homo sapiens]	Pf00035	27067	STAU2	8
NP_001188408.1	CORO7-PAM16 protein [Homo sapiens]	Pf00400, Pf03656, Pf08953, Pf08954	100529144; 79585	CORO7-PAM16; CORO7	16; CHR_HSCHR16_3_CTG1
EAW63580.1	protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform, isoform CRA_d [Homo sapiens]		5520	PPP2R2A	8
AAL56011.1	very-long-chain acyl-CoA dehydrogenase VLCAD [Homo sapiens]	Pf00441, Pf02770, Pf02771, Pf08028	28976	ACAD9	3
AAK74072.1	heat shock protein gp96 precursor, partial [Homo sapiens]	Pf00183, Pf02518, Pf13589	7184	HSP90B1	12
XP_005245423.1	zinc finger protein 687 isoform X1 [Homo sapiens]	Pf09770	57592	ZNF687	1
AAI37086.1	Zinc finger RNA binding protein [Homo sapiens]	Pf07528, Pf12171, Pf12874	51663	ZFR	5
BAF84382.1	unnamed protein product [Homo sapiens]	Pf01602, Pf08752, Pf13646	22820	COPG1	3
EAW94483.1	dynein, light chain, LC8-type 2, isoform CRA_a, partial [Homo sapiens]	Pf01221	140735	DYNLL2	17
NP_689480.2	E3 ubiquitin-protein ligase RNF185 isoform 1 [Homo sapiens]	Pf00097, Pf12678, Pf12861, Pf13445, Pf13639, Pf13920, Pf13923, Pf14634, Pf15227	91445	RNF185	22
XP_006720161.1	ral GTPase-activating protein subunit alpha-1 isoform X1 [Homo sapiens]	Pf02145	253959	RALGAPA1	14
NP_001177396.1	proline-rich protein 36 [Homo sapiens]	Pf15363	80164	FLJ22184; PRR36	19
NP_006827.1	eIF-2-alpha kinase activator GCN1 [Homo sapiens]	Pf12074, Pf13646	10985	GCN1L1; GCN1	12
NP_057093.1	endophilin-B1 isoform 1 [Homo sapiens]	Pf00018, Pf03114, Pf07653, Pf14604	51100	SH3GLB1	1
AAH93054.1	Single-stranded DNA binding protein 1 [Homo sapiens]	Pf00436	6742	SSBP1	7
4XCS_A	Chain A, Human Peroxiredoxin-1 C83s Mutant				
XP_016869592.1	RB1-inducible coiled-coil protein 1 isoform X1 [Homo sapiens]	Pf03938, Pf04111, Pf05667, Pf10377, Pf12128	9821	RB1CC1	8
NP_001531.1	heat shock protein beta-1 [Homo sapiens]	Pf00011	3315	HSPB1	7
NP_443130.1	XK-related protein 4 [Homo sapiens]	Pf09815	114786	XKR4	8
XP_006723003.1	cdc42-interacting protein 4 isoform X1 [Homo sapiens]	Pf00611, Pf05262	9322	TRIP10	19
AAH14353.1	Stathmin 1/oncoprotein 18 [Homo sapiens]	Pf00836, Pf09726	3925	STMN1	1
AAB67978.1	helicase [Homo sapiens]	Pf00270, Pf00271, Pf08148, Pf13234	6499	SKIV2L	6
NP_787128.2	26S proteasome non-ATPase regulatory subunit 13 isoform 2 [Homo sapiens]	Pf01399	5719	PSMD13	11
NP_001123917.1	protein ITPRID2 isoform 1 [Homo sapiens]	Pf14722, Pf14723	6744	SSFA2	2
AAA61138.1	transcription elongation factor SII [Homo sapiens]	Pf01096, Pf07500, Pf08711	6917	TCEA1	8
NP_055956.1	glycerol-3-phosphate dehydrogenase 1-like protein [Homo sapiens]	Pf01210, Pf07479	23171	GPD1L	3
BAH13795.1	unnamed protein product [Homo sapiens]	Pf00763, Pf01268, Pf02882	4522	MTHFD1	14
NP_004724.1	acetyl-coenzyme A transporter 1 isoform 1 [Homo sapiens]	Pf13000	9197	SLC33A1	3
AAD19597.1	thioredoxin reductase [Homo sapiens]	Pf00070, Pf02852, Pf07992, Pf13738	10587	TXNRD2	22
AAD27720.1	CGI-11 protein [Homo sapiens]	Pf03224, Pf11698	51606	ATP6V1H	8
NP_001824.1	clathrin light chain A isoform a [Homo sapiens]	Pf01086	1211	CLTA	9
4D10_F	Chain F, Crystal Structure Of The Cop9 Signalosome				
XP_005256095.1	protein VAC14 homolog isoform X1 [Homo sapiens]	Pf11916, Pf12755	55697	VAC14	16
NP_001854.1	cytochrome c oxidase subunit 6B1 [Homo sapiens]	Pf02297	1340	COX6B1	19
XP_024303864.1	delta-1-pyrroline-5-carboxylate synthase isoform X2 [Homo sapiens]				
6CRK_A	Chain A, Heterotrimeric G-protein in complex with an antibody fragment				
XP_024303103.1	rho guanine nucleotide exchange factor 10 isoform X2 [Homo sapiens]				
AAH28239.1	Cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa, tau variant [Homo sapiens]	Pf00076, Pf13893, Pf14259, Pf14304, Pf14327	23283	CSTF2T	10
XP_024307077.1	transcription intermediary factor 1-beta isoform X1 [Homo sapiens]				
BAF84020.1	unnamed protein product [Homo sapiens]		10906	TRAFD1	12
EAW73429.1	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila), isoform CRA_b [Homo sapiens]	Pf00002, Pf00008, Pf00028, Pf00053, Pf00054, Pf01825, Pf02210, Pf02793, Pf05462, Pf07645, Pf08758, Pf12003	9620	CELSR1	22
BAG52042.1	unnamed protein product [Homo sapiens]	Pf00069, Pf07714	9149	DYRK1B	19
AAG43365.1	chromosome 9 open reading frame 5 [Homo sapiens]	Pf06679	23731	TMEM245	9
BAD92358.1	mutant p53 binding protein 1 variant, partial [Homo sapiens]	Pf07645, Pf12662, Pf14670	30008	EFEMP2	11
NP_001157876.1	golgin subfamily A member 6C [Homo sapiens]	Pf10186, Pf15070	653641	GOLGA6C	15
EAW79546.1	hCG2022684, isoform CRA_b [Homo sapiens]	Pf05051			3
NP_001350493.1	mth938 domain-containing protein isoform d [Homo sapiens]				
AAF86048.1	RNA helicase A binding protein 95 [Homo sapiens]	Pf04988	26993	AKAP8L	19
NP_005776.1	E3 ubiquitin-protein ligase NRDP1 isoform 1 [Homo sapiens]	Pf00097, Pf08941, Pf12678, Pf13639, Pf13923, Pf14835, Pf15227	10193	RNF41	12
XP_016882373.1	POU domain, class 2, transcription factor 2 isoform X1 [Homo sapiens]	Pf00046, Pf00157, Pf13560	5452	POU2F2	19
XP_005265513.1	sarcolemmal membrane-associated protein isoform X1 [Homo sapiens]	Pf00498, Pf01576, Pf01920, Pf03961, Pf04111, Pf05262, Pf05483, Pf05701, Pf07888, Pf12128, Pf13166, Pf13514	7871	SLMAP	3
EAW78851.1	profilin 2, isoform CRA_b, partial [Homo sapiens]	Pf00235	5217	PFN2	3
AAN32907.1	pantothenate kinase 2 [Homo sapiens]	Pf03630	80025	PANK2	20
NP_001292553.1	calmodulin-2 isoform 1 [Homo sapiens]	Pf00036, Pf08726, Pf12763, Pf13202, Pf13405, Pf13499, Pf13833, Pf14658	805	CALM2	2
NP_116315.1	transcription elongation factor A protein-like 3 [Homo sapiens]	Pf04538	85012	TCEAL3	X
AAB58413.1	TTF-I interacting peptide 20, partial [Homo sapiens]	Pf00096, Pf13465	126208	ZNF787	19
CAA66940.1	HR21spA, partial [Homo sapiens]	Pf04824, Pf04825	5885	RAD21	8
AAH16772.1	ABCF1 protein, partial [Homo sapiens]		23	ABCF1	6
CAH18695.1	hypothetical protein [Homo sapiens]	Pf03810, Pf08389, Pf08767	7514	XPO1	2
CAH18415.1	hypothetical protein [Homo sapiens]	Pf00069, Pf07714, Pf14531	54861	SNRK	3
BAG62522.1	unnamed protein product [Homo sapiens]	Pf02221	10577	NPC2	14
5Z58_R	Chain R, Cryo-EM structure of a human activated spliceosome (early Bact) at 4.9 angstrom.				
EAX11483.1	hCG1811743, isoform CRA_e [Homo sapiens]	Pf00397, Pf01846	55660	PRPF40A	2
CAD48858.1	Wiskott-Aldrich syndrome protein family member 4 [Homo sapiens]		644739	WASF4P	X
3V9G_A	Chain A, Crystal Structure Of Human 1-Pyrroline-5-Carboxylate Dehydrogenase				
NP_001032248.1	acyl-coenzyme A thioesterase 9, mitochondrial isoform a precursor [Homo sapiens]	Pf03061	23597	ACOT9	X
BAD93013.1	prosaposin variant, partial [Homo sapiens]	Pf02199, Pf03489, Pf05184	5660	PSAP	10
EAX04120.1	trinucleotide repeat containing 5, isoform CRA_i [Homo sapiens]	Pf11938	10695	CNPY3	6
NP_061184.1	conserved oligomeric Golgi complex subunit 1 [Homo sapiens]	Pf08700	9382	COG1	17
AAH78181.1	Interferon regulatory factor 2 binding protein 1 [Homo sapiens]	Pf11261	26145	IRF2BP1	19
NP_065797.2	mitochondrial antiviral-signaling protein isoform 1 [Homo sapiens]		57506	MAVS	20
AAH26185.1	Saccharopine dehydrogenase (putative) [Homo sapiens]	Pf03435, Pf13460	51097	SCCPDH	1
XP_011515270.2	protein argonaute-2 isoform X1 [Homo sapiens]	Pf02170, Pf02171, Pf08699	27161	AGO2; EIF2C2	8
AAH36470.1	Cadherin 2, type 1, N-cadherin (neuronal) [Homo sapiens]	Pf00028, Pf01049, Pf08758	1000	CDH2	18
XP_005271379.1	nexilin isoform X1 [Homo sapiens]	Pf00047, Pf07679, Pf13895	91624	NEXN	1
NP_001074003.1	protein unc-13 homolog C isoform 1 [Homo sapiens]	Pf00130, Pf00168, Pf06292, Pf10540	440279	UNC13C	15
NP_055892.2	sterile alpha and TIR motif-containing protein 1 precursor [Homo sapiens]	Pf00536, Pf07647, Pf13676	23098	SARM1	17
EAW61129.1	drebrin-like, isoform CRA_a [Homo sapiens]	Pf00018, Pf00241, Pf07653, Pf14604	28988	DBNL	7
NP_057614.1	ras-related protein Rab-8B [Homo sapiens]	Pf00025, Pf00071, Pf04670, Pf08477	51762	RAB8B	15
NP_065147.1	ATP-dependent RNA helicase DDX24 [Homo sapiens]	Pf00270, Pf00271, Pf13307	57062	DDX24	14; CHR_HSCHR14_7_CTG1
P62266	40S ribosomal protein S23 OS=Homo sapiens OX=9606 GN=RPS23 PE=1 SV=3	Pf00164	6228	RPS23	5
AAH65525.1	ADD2 protein [Homo sapiens]	Pf00596	119	ADD2	2
AAB63263.1	amphiphysin II [Homo sapiens]	Pf00018, Pf03114, Pf07653, Pf14604	274	BIN1	2
XP_005270751.1	microtubule-actin cross-linking factor 1 isoform X1 [Homo sapiens]	Pf00036, Pf00307, Pf00435, Pf00681, Pf01576, Pf02187, Pf10498, Pf11971, Pf13499, Pf13514, Pf13833	23499	MACF1	1
ANY92034.1	immunoglobulin heavy chain, partial [Homo sapiens]				
XP_011509878.1	E3 SUMO-protein ligase RanBP2 isoform X6 [Homo sapiens]	Pf00160, Pf00515, Pf00638, Pf00641, Pf07719, Pf12185, Pf13414, Pf13432, Pf14559	5903	RANBP2	2
NP_001005333.1	melanoma-associated antigen D1 isoform a [Homo sapiens]	Pf00874, Pf01454	9500	MAGED1	X
NP_001349826.1	poly(U)-binding-splicing factor PUF60 isoform j [Homo sapiens]				
AAP78944.1	interferon regulatory factor-2 binding protein 2A [Homo sapiens]	Pf11261	359948	IRF2BP2	1
BAA84924.1	ABP130 [Homo sapiens]	Pf03154, Pf09770, Pf12931	22872	SEC31A	4
BAD96736.1	squamous cell carcinoma antigen recognized by T cells 1 variant, partial [Homo sapiens]	Pf03343	9092	SART1	11
XP_005261252.2	pyridoxal kinase isoform X1 [Homo sapiens]	Pf00294, Pf08543	8566	PDXK	21
XP_005273819.1	carnitine O-palmitoyltransferase 1, liver isoform isoform X1 [Homo sapiens]	Pf00755	1374	CPT1A	11
AAR89381.1	KIAA1228 protein [Homo sapiens]	Pf00168	57488	ESYT2	7
XP_016875233.1	peroxisomal biogenesis factor 5 isoform X1 [Homo sapiens]	Pf00515, Pf13414, Pf13424, Pf13432	5830	PEX5	12
XP_016857646.1	phosphatase and actin regulator 4 isoform X1 [Homo sapiens]	Pf02755	65979	PHACTR4	1
6BOQ_A	Chain A, DNA-(apurinic or apyrimidinic site) lyase				
AAF86954.1	GK001 [Homo sapiens]	Pf07946	57003	CCDC47	17
AAH13878.1	Thimet oligopeptidase 1 [Homo sapiens]	Pf01432	7064	THOP1	19
EAW92606.1	microtubule-associated protein 1A, isoform CRA_a [Homo sapiens]	Pf12072, Pf12128, Pf12718	4130	MAP1A	15
NP_061141.2	protein unc-45 homolog A isoform 2 [Homo sapiens]	Pf00515, Pf07719, Pf11701, Pf12895, Pf13181, Pf13414, Pf13424, Pf13432, Pf14559	55898	UNC45A	15
AAD18085.1	BAT3 [Homo sapiens]	Pf00240, Pf11976, Pf12057, Pf13881	7917	BAG6	6
BAA91840.1	unnamed protein product [Homo sapiens]	Pf01546, Pf07687	55748	CNDP2	18
ACF05699.1	betaCstF-64 variant 2 [Homo sapiens]	Pf00076, Pf13893, Pf14259, Pf14304, Pf14327	1478	CSTF2	X
XP_011524003.1	protein spire homolog 1 isoform X1 [Homo sapiens]		56907	SPIRE1	18
XP_005257569.1	G-protein coupled receptor family C group 5 member C isoform X1 [Homo sapiens]	Pf00003	55890	GPRC5C	17
BAH12496.1	unnamed protein product [Homo sapiens]	Pf00169, Pf00640	55198	APPL2	12
2CL3_A	Chain A, Crystal Structure Of Human Cleavage And Polyadenylation Specificity Factor 5 (Cpsf5)				
AAH71727.1	Eukaryotic translation elongation factor 1 alpha 1 [Homo sapiens]	Pf00009, Pf03143, Pf03144	1915	EEF1A1	6
XP_005255239.1	serine/threonine-protein kinase SMG1 isoform X1 [Homo sapiens]	Pf00454, Pf02260	23049	SMG1	16
AAA57474.1	dihydropyrimidine dehydrogenase [Homo sapiens]	Pf01180, Pf01207, Pf07992, Pf12838, Pf13183, Pf13187, Pf13237, Pf13450, Pf14691, Pf14697	1806	DPYD	1
XP_005270743.1	KICSTOR complex protein SZT2 isoform X1 [Homo sapiens]		23334	SZT2	1
NP_060224.3	UHRF1-binding protein 1 [Homo sapiens]	Pf12624	54887	UHRF1BP1	6
NP_055317.1	pre-mRNA-processing factor 19 [Homo sapiens]	Pf00400, Pf04564, Pf08606, Pf11789	27339	PRPF19	11
NP_001268400.1	inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 isoform 3 [Homo sapiens]	Pf00328, Pf08443	23262	PPIP5K2	5
NP_036524.1	peflin isoform 1 [Homo sapiens]	Pf00036, Pf13202, Pf13405, Pf13499, Pf13833	553115	PEF1	1
BAC56890.1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 [Homo sapiens]	Pf00535, Pf00652, Pf02709, Pf10111, Pf13641	55568	GALNT10	5
BAD93080.1	proteasome 26S non-ATPase subunit 2 variant, partial [Homo sapiens]	Pf01851	5708	PSMD2	3
NP_705841.2	lysophospholipid acyltransferase LPCAT4 [Homo sapiens]	Pf01553	254531	LPCAT4	15
NP_001244904.1	cip1-interacting zinc finger protein isoform 5 [Homo sapiens]	Pf12171	25792	CIZ1	9
AAH22543.1	Zinc finger CCHC-type and RNA binding motif 1 [Homo sapiens]	Pf00076, Pf00098, Pf13893, Pf14259	85437	ZCRB1	12
XP_024303398.1	transcription factor RFX3 isoform X1 [Homo sapiens]				
AAK29181.1	catalase [Homo sapiens]	Pf00199, Pf06628	847	CAT	11
EAW73126.1	zinc finger protein 326, isoform CRA_b [Homo sapiens]	Pf04988	284695	ZNF326	1
AAQ13428.1	citrate synthase [Homo sapiens]	Pf00285	1431	CS	12
NP_001335658.1	kinase D-interacting substrate of 220 kDa isoform 2 [Homo sapiens]	Pf00023, Pf07693, Pf12796, Pf13606, Pf13637, Pf13857	57498	KIDINS220	2
2MP2_B	Chain B, Small ubiquitin-related modifier 3				
NP_001186752.1	NEDD8-MDP1 protein [Homo sapiens]	Pf00240, Pf00702, Pf11976, Pf12689, Pf13419	100528064	NEDD8-MDP1	14
AAF17189.1	neuronal protein NP25 [Homo sapiens]	Pf00307, Pf00402	29114	TAGLN3	3
